epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,3425.4,0.66381,0.41025,0.82079,0.96173,0.99091,0.98626,0.82785,0.63265,0.38895,0.83796,0.0006668,0.0006668,0.0006668
103,3458.52,0.68252,0.41905,0.82874,0.96721,0.97576,0.98448,0.82836,0.60455,0.39124,0.83432,0.0006536,0.0006536,0.0006536
104,3491.35,0.65256,0.40342,0.826,0.97852,0.96621,0.99022,0.83007,0.63747,0.40671,0.85924,0.0006404,0.0006404,0.0006404
105,3524.61,0.66856,0.40519,0.82918,0.96383,0.98485,0.98926,0.8222,0.62916,0.39683,0.83963,0.0006272,0.0006272,0.0006272
106,3557.87,0.66784,0.41261,0.82338,0.97277,0.97413,0.98894,0.83425,0.59956,0.39041,0.84059,0.000614,0.000614,0.000614
107,3590.79,0.64518,0.39542,0.82571,0.96162,0.99394,0.98509,0.83718,0.58495,0.38499,0.83168,0.0006008,0.0006008,0.0006008
108,3623.81,0.66223,0.40882,0.82297,0.97146,0.98788,0.98569,0.82686,0.60227,0.38381,0.84476,0.0005876,0.0005876,0.0005876
109,3656.66,0.65696,0.40306,0.8303,0.97891,0.98788,0.98769,0.83253,0.61835,0.38459,0.83944,0.0005744,0.0005744,0.0005744
110,3689.81,0.66692,0.41385,0.83702,0.97325,0.99225,0.98882,0.82456,0.58766,0.37187,0.83984,0.0005612,0.0005612,0.0005612
111,3722.65,0.64945,0.39817,0.8171,0.97278,0.97484,0.99065,0.83142,0.62365,0.38762,0.8411,0.000548,0.000548,0.000548
112,3756.01,0.66377,0.40341,0.8235,0.96911,0.98182,0.98748,0.83562,0.59268,0.37142,0.83433,0.0005348,0.0005348,0.0005348
113,3789.04,0.68942,0.42022,0.83409,0.96707,0.97905,0.98825,0.83546,0.59444,0.37989,0.83402,0.0005216,0.0005216,0.0005216
114,3822.33,0.67013,0.40197,0.81702,0.96707,0.97885,0.98832,0.82532,0.62899,0.39055,0.84373,0.0005084,0.0005084,0.0005084
115,3855.55,0.64006,0.39582,0.82307,0.95878,0.98686,0.98751,0.82935,0.61476,0.38938,0.84331,0.0004952,0.0004952,0.0004952
116,3888.84,0.66692,0.39316,0.82611,0.96389,0.98182,0.9877,0.83124,0.6038,0.3844,0.83724,0.000482,0.000482,0.000482
117,3922.49,0.65695,0.40185,0.82315,0.98018,0.9697,0.98812,0.83648,0.6002,0.37889,0.8449,0.0004688,0.0004688,0.0004688
118,3955.18,0.6519,0.38446,0.81849,0.97705,0.98182,0.98859,0.83933,0.59752,0.37181,0.83454,0.0004556,0.0004556,0.0004556
119,3988.19,0.63646,0.38978,0.81651,0.96738,0.98868,0.99003,0.8384,0.58991,0.36828,0.84289,0.0004424,0.0004424,0.0004424
120,4021.49,0.63376,0.38074,0.82183,0.97009,0.98289,0.98668,0.82921,0.61341,0.37013,0.83755,0.0004292,0.0004292,0.0004292
121,4054.64,0.65191,0.38599,0.82024,0.97306,0.98494,0.98864,0.8392,0.61021,0.37035,0.84272,0.000416,0.000416,0.000416
122,4087.56,0.64152,0.39693,0.82496,0.97621,0.98182,0.9879,0.83347,0.58065,0.36327,0.83425,0.0004028,0.0004028,0.0004028
123,4120.72,0.63302,0.3776,0.81065,0.97609,0.98981,0.98729,0.83818,0.59582,0.37221,0.83235,0.0003896,0.0003896,0.0003896
124,4153.68,0.64096,0.38748,0.82265,0.97246,0.98485,0.9841,0.8305,0.59845,0.37382,0.84188,0.0003764,0.0003764,0.0003764
125,4186.74,0.62616,0.37441,0.82025,0.96732,0.98673,0.98483,0.83556,0.60056,0.37885,0.83488,0.0003632,0.0003632,0.0003632
126,4219.81,0.61869,0.37179,0.8203,0.97137,0.97879,0.98722,0.84028,0.59288,0.3671,0.83945,0.00035,0.00035,0.00035
127,4253.24,0.64217,0.37497,0.81741,0.9789,0.9843,0.99,0.83823,0.60085,0.37625,0.84082,0.0003368,0.0003368,0.0003368
128,4286.32,0.63214,0.37454,0.81776,0.9687,0.98788,0.98619,0.83992,0.57971,0.36199,0.83621,0.0003236,0.0003236,0.0003236
129,4319.4,0.64454,0.37928,0.81627,0.96175,0.99053,0.98365,0.83256,0.5951,0.37292,0.83927,0.0003104,0.0003104,0.0003104
130,4352.62,0.62229,0.36727,0.8178,0.95251,0.98788,0.98288,0.8455,0.579,0.36701,0.83551,0.0002972,0.0002972,0.0002972
131,4385.95,0.61301,0.36734,0.80939,0.97215,0.98485,0.98652,0.84543,0.56962,0.36273,0.83057,0.000284,0.000284,0.000284
132,4419.25,0.61273,0.3653,0.81057,0.97312,0.98727,0.98828,0.84617,0.57165,0.35502,0.83644,0.0002708,0.0002708,0.0002708
133,4452.73,0.6365,0.374,0.81987,0.97898,0.9878,0.98609,0.848,0.57608,0.35311,0.83916,0.0002576,0.0002576,0.0002576
134,4486.11,0.63937,0.38164,0.82063,0.96746,0.99112,0.98703,0.84405,0.57031,0.35642,0.83763,0.0002444,0.0002444,0.0002444
135,4519.04,0.59768,0.35364,0.81105,0.96823,0.99091,0.98864,0.84527,0.59294,0.36528,0.83564,0.0002312,0.0002312,0.0002312
136,4552.08,0.60338,0.35445,0.81436,0.96727,0.99091,0.98328,0.84008,0.58536,0.36458,0.83802,0.000218,0.000218,0.000218
137,4585.2,0.62533,0.37052,0.81748,0.96749,0.99191,0.98422,0.84331,0.58243,0.35533,0.8334,0.0002048,0.0002048,0.0002048
138,4618.33,0.61524,0.37107,0.81768,0.9761,0.99027,0.98681,0.84502,0.56969,0.34961,0.83415,0.0001916,0.0001916,0.0001916
139,4651.26,0.61512,0.36464,0.80867,0.96437,0.99394,0.98915,0.84929,0.56617,0.34946,0.83441,0.0001784,0.0001784,0.0001784
140,4684.6,0.62278,0.36156,0.81509,0.9791,0.99363,0.98792,0.8443,0.56544,0.34072,0.83539,0.0001652,0.0001652,0.0001652
141,4724.9,0.55906,0.33742,0.81381,0.97291,0.99091,0.98959,0.84261,0.58365,0.35656,0.83868,0.000152,0.000152,0.000152
142,4757.75,0.57599,0.34551,0.81266,0.97304,0.98444,0.98531,0.84089,0.57537,0.35826,0.83355,0.0001388,0.0001388,0.0001388
143,4790.44,0.5679,0.34029,0.81458,0.97041,0.99387,0.98586,0.84652,0.56792,0.34629,0.83331,0.0001256,0.0001256,0.0001256
144,4822.92,0.55469,0.32509,0.80974,0.96987,0.99394,0.98534,0.84131,0.58267,0.34554,0.83537,0.0001124,0.0001124,0.0001124
145,4855.34,0.56314,0.32953,0.82086,0.97242,0.99394,0.98665,0.84081,0.58768,0.34763,0.83575,9.92e-05,9.92e-05,9.92e-05
146,4887.8,0.55382,0.33018,0.81106,0.96816,0.99394,0.98593,0.84538,0.57314,0.34739,0.83432,8.6e-05,8.6e-05,8.6e-05
147,4920.31,0.53495,0.32363,0.8169,0.9727,0.99394,0.98588,0.8448,0.57268,0.34399,0.83214,7.28e-05,7.28e-05,7.28e-05
148,4952.86,0.53753,0.31946,0.80469,0.97618,0.99362,0.98617,0.84274,0.57074,0.34287,0.83189,5.96e-05,5.96e-05,5.96e-05
149,4985.3,0.5333,0.31654,0.8013,0.97619,0.99386,0.98638,0.84212,0.57899,0.34164,0.83288,4.64e-05,4.64e-05,4.64e-05
150,5018.13,0.51359,0.30763,0.81096,0.97221,0.99394,0.98667,0.84537,0.57053,0.33967,0.83428,3.32e-05,3.32e-05,3.32e-05
